,placa,loc_latitude,loc_longitude,count
1137,OQF4653,8112,2056,1
1138,LJA6862,9654,4859,1
1139,HDV4890,6775,7722,1
1140,OII9674,5666,5667,1
1141,OLI3511,7210,1962,1
1142,KXO0392,1000,8542,1
1143,IGG6938,7361,6353,1
1144,NSJ9147,2403,9277,1
1145,OGW4576,6072,9488,1
1146,IID1111,2634,9246,1
1147,IXH9082,8053,4258,1
1148,BAO8315,1594,6300,1
1149,FMO8228,7122,5194,1
1150,KKI9135,6967,2919,1
1151,FLM4700,6967,2919,1
1152,POZ0646,5222,3444,1
1153,BBI5080,472,5552,1
1154,OHM9673,1638,6794,1
1155,INU3617,461,4253,1
1156,PCK6980,1382,4248,1
1157,OLS1892,1772,1190,1
1158,ODI9577,6050,6869,1
1159,OAI1223,3497,6138,1
1160,ORS1609,3500,6325,1
1161,PAN6372,8711,2753,1
1162,IJV5682,5000,4778,1
1163,OAI4296,3976,6305,1
1164,IYW7169,4042,2203,1
1165,HIX5527,3861,7458,1
1166,HVK1562,9666,833,1
1167,MSY5856,9654,4859,1
1168,POZ6441,1638,6794,1
1169,HDW3788,7944,8369,1
1170,BIS1273,5256,7837,1
1171,HZX8812,2422,8622,1
1172,HGU0207,7262,8878,1
1173,PYM1297,6050,6869,1
1174,KDQ3848,7210,1962,1
1175,HDY4564,9612,8692,1
1176,HAY4383,4608,1990,1
1177,PCU7345,8412,89,1
1178,POZ0646,5466,1020,1
1179,LON0400,0,0,1
1180,PGM1790,7388,5319,1
1181,NQU0291,9994,982,1
1182,HJK5884,7134,4709,1
1183,HZY2007,7122,5194,1
1184,NDH5798,1708,1402,1
1185,NLQ4673,224,9684,1
1186,NMJ7470,7134,4709,1
1187,NMU1587,8653,2233,1
1188,ODT6397,7260,9133,1
1189,OGQ6445,9422,5310,1
1190,OKM8231,8053,4258,1
1191,FRP7021,1308,9661,1
1192,OEG4058,1308,9661,1
1193,OGS0383,9711,2269,1
1194,OEE8520,224,9684,2
1195,OLI0574,3088,6052,1
1196,PSM6081,9654,4859,1
1197,HNY5767,7260,9133,2
1198,PWM8734,7361,6353,1
1199,HXY7960,9612,8692,1
1200,HYP7777,9430,4736,1
1201,OAW6213,7272,1070,1
1202,PDM5369,500,9278,1
1203,OII2238,4111,7000,1
1204,OXY0705,7361,6353,1
1205,NNQ9960,9612,8692,1
1206,OPS0903,1289,9660,1
1207,OYR1018,132,5022,1
1208,OKS8740,4075,3683,1
1209,NDU7901,6072,9488,1
1210,OAJ6910,8310,2494,1
1211,OIF0917,1444,4721,1
1212,NQO7323,9988,1800,2
1213,OGD2050,53,5909,1
1214,NZO3162,7260,9133,1
1215,NZO1004,2964,3758,7
1216,PND6560,7812,6182,2
1217,OPS0903,6794,1377,1
1218,OIC1426,9422,5310,1
1219,OCF7777,3522,1867,1
1220,ORJ1224,8310,2494,1
1221,NJN4139,7262,8878,1
1222,HHL5155,9430,4736,1
1223,OLI6651,2634,9246,1
1224,OLS2179,1308,9661,1
1225,ODM0614,9666,833,1
1226,IQX7070,7944,8369,1
1227,PON7460,3553,9819,1
1228,NRD0423,3366,9194,1
1229,HUU1999,5610,8083,1
1230,IBH5167,6775,7722,1
1231,OQF4653,224,9684,1
1232,OVR8709,3861,7458,1
1233,OSR3971,1024,3153,1
1234,PIX2935,1382,4248,1
1235,NUO5426,2403,9277,1
1236,OKS8065,1412,9134,1
1237,HDX6190,7723,5667,1
1238,HPO4785,9422,5310,1
1239,HWY6739,4738,6727,1
1240,NAV3521,1412,9134,1
1241,OTR0217,2434,2172,1
