,placa,loc_latitude,loc_longitude,count
3524,HTN1174,7833,7444,1
3525,OOA4931,0,6194,1
3526,ONF4608,3522,1867,1
3527,OZK1916,5303,7658,1
3528,NDG9085,5500,4917,1
3529,PSN8017,8112,2056,1
3530,HTX1878,8053,4258,1
3531,PTN1651,3596,4244,1
3532,OTS1324,4738,6727,1
3533,HIX3407,9222,5020,1
3534,NPU0984,4608,1990,1
3535,ODI1218,461,4253,1
3536,NQU3846,7812,6182,1
3537,HJK4362,4316,3639,1
3538,OOR4880,2434,2172,1
3539,HNY5767,1010,9237,1
3540,HGI9450,4944,9278,1
3541,OPI0989,2634,9246,1
3542,OEC1316,5880,8554,1
3543,OGS0383,9222,1778,1
3544,MYH2525,9222,5020,1
3545,NVU1207,472,5552,1
3546,ODR1000,9222,1778,1
3547,IPM3338,3964,8994,1
3548,FZE7680,1113,8750,1
3549,PHM7298,6794,1377,1
3550,JOJ2035,2964,3758,1
3551,OQC1841,1024,3153,2
3552,OUS8428,2403,9277,1
3553,OHC7261,4316,706,1
3554,ONR6529,4117,2929,1
3555,HDW4067,7260,9133,2
3556,BTR6577,5010,8083,1
3557,PVW6706,2434,2172,1
3558,NDV8814,2850,4686,1
3559,PQW4116,5825,9794,1
3560,OXS2240,961,914,1
3561,OOI9767,1308,9661,1
3562,IYM3413,3416,1233,1
3563,KOE3572,2633,875,1
3564,OTF9140,944,1277,1
3565,HPW1500,5303,7658,1
3566,OKG8517,3416,1233,1
3567,HVW1377,5556,9333,1
3568,OKG8301,4082,6528,1
3569,OMS3145,1308,9661,1
3570,API4076,3344,8755,1
3571,NRO2098,3976,6305,1
3572,HFW8616,1000,8542,1
3573,OLS2179,1804,8735,1
3574,AOO6950,8444,528,1
3575,OZH0795,7938,8810,1
3576,HHW5394,6364,7267,1
3577,FBD9604,6775,7722,1
3578,NXU0557,2434,2172,1
3579,ONF4608,6364,7267,1
3580,ODC5319,1804,8735,1
3581,NYO7867,3596,4244,1
3582,JKO9102,6775,7722,1
3583,BTR8951,7432,5760,1
3584,JIS0972,2634,9246,1
3585,ODI4122,7134,4709,1
3586,JYI8108,5825,9794,1
3587,PII5160,2422,8622,1
3588,OCC9018,7088,5806,1
3589,PTM7231,5222,3444,1
3590,NUQ1341,4316,706,1
3591,PAN6293,9994,982,1
3592,HLY0077,1289,9660,1
3593,OIF7496,6364,7267,1
3594,OLS2179,1308,9661,3
3595,KNE0732,6794,1377,1
3596,OEI9822,4853,8470,1
3597,OKS0760,2324,8727,1
3598,NJN2728,1289,9660,1
3599,OGX2059,8112,2056,1
3600,PDM4462,3894,8600,1
3601,OGS0383,2434,2172,1
3602,OKG8517,1444,4721,1
3603,OWR8268,1932,8329,1
3604,BOO4661,5332,4583,1
3605,HZX8812,5222,3444,1
3606,PSN6821,5466,1020,1
3607,PAD6046,2403,9277,1
3608,AAA1111,3522,1867,1
3609,JDV2483,5328,2522,1
3610,JYI8108,472,5552,1
3611,OFL9450,9654,4859,1
3612,HIY1774,5466,1020,1
3613,JDS5209,8112,2056,1
3614,PMN8281,472,5552,2
3615,ONF4608,9388,472,1
3616,FBO7221,1866,1061,1
3617,OUR1458,4400,5106,1
3618,OOC1046,8553,444,1
3619,JYI8108,461,4253,1
3620,OIF0917,1308,9661,1
3621,MLQ3861,8444,528,1
3622,NYO7177,6166,4305,1
3623,POZ0646,2422,8622,1
3624,PAN9801,5328,2522,1
3625,AJV2250,8188,8761,1
3626,HRY3467,132,5022,1
3627,OEI3321,9612,8692,1
3628,NQO7323,9694,2880,1
3629,OGS0583,7833,7444,1
3630,OAS3931,4316,3639,1
3631,LLI5928,2403,9277,1
3632,HUV5240,7428,4378,1
3633,PIW4853,5880,8554,1
3634,JXI9598,4738,6727,2
3635,HPV1135,5332,4583,1
3636,BAN9600,6364,7267,1
3637,PBG3817,3344,8755,1
3638,HUY0186,5500,4917,1
3639,OQL7251,9222,5020,1
3640,HEW3958,2557,2056,1
3641,OGS3373,5825,9794,1
3642,PJW6211,9222,5020,1
3643,HOU4032,4361,2544,1
3644,HKV2057,2850,4686,1
3645,FRX5765,7428,4378,1
3646,OFS9866,8653,2233,1
3647,HUW3528,2967,3581,1
3648,OFC3861,3344,8755,1
3649,AGR1710,7723,5667,1
3650,NDO5236,7361,6353,1
3651,NVK0247,2403,9277,1
3652,OPC5296,5825,9794,1
3653,OQF4653,2434,2172,1
3654,BBI7157,2556,2528,1
3655,OMK4914,3964,8994,1
3656,OAG6713,4316,706,1
3657,KEM4412,3088,6052,1
3658,HOU2084,4316,706,1
3659,EED0787,5666,5667,1
3660,OED2263,6050,6869,1
3661,GGS6733,2964,3758,1
3662,OUR1117,2434,2172,1
3663,ODC2489,7262,8878,1
3664,OYH5787,858,4232,1
3665,HIV8591,2486,1840,1
3666,PLE1531,4738,6727,1
3667,HIV4019,7812,6182,1
3668,NDU0818,1000,833,1
3669,PRN0070,1024,3153,1
3670,OHT1519,3894,8600,1
3671,BOO0077,6967,855,1
3672,OSS1124,8412,89,1
3673,PRE3670,8188,8761,1
3674,OIF0917,9666,833,1
3675,OQF4653,6782,800,2
3676,HDV9070,7272,1070,1
3677,OWR8340,4117,2929,1
3678,NLO2641,7260,9133,1
3679,NFQ7296,7944,8369,1
3680,HAH7729,6072,9488,1
3681,PHW3485,9222,5020,1
3682,BIX5376,3497,6138,1
3683,HVX7204,8553,444,1
3684,JDS2366,2322,8902,1
3685,HDY3592,6775,7722,1
3686,OPI5732,8553,444,1
3687,NLO2017,9666,833,1
3688,IDV5652,1289,9660,1
3689,JLS8223,7944,8369,1
3690,OGS0383,3444,967,1
3691,OBS7052,2634,9246,1
3692,NZO1004,2967,3581,3
3693,PBM0734,3720,2859,1
3694,OHC4584,2850,4686,1
3695,KKD3555,3416,1233,1
3696,ALC9101,0,6194,1
3697,BOO6674,5256,7837,1
3698,OII2238,1010,9237,1
3699,OGD2050,8444,528,1
3700,NFU9020,9388,472,1
3701,ODI3172,1010,9237,1
3702,HDZ5589,2634,9246,1
3703,HMU6134,6364,7267,1
3704,NNQ3364,4738,6727,1
3705,PSN6821,4944,9278,1
3706,OUB9574,4082,6528,2
3707,OHT0583,7262,8878,1
3708,MGQ3605,2634,9246,1
3709,OEC8604,3944,7554,1
3710,OSS4843,4316,3639,1
3711,HDK1794,1289,9660,1
3712,JYI8108,2967,3581,1
3713,OJS8174,7210,1962,1
3714,OHM9673,4400,5106,2
3715,BNN7500,3638,8261,1
3716,OQC9918,7361,6353,1
3717,OGI6574,2557,2056,1
3718,OHM9673,4042,2203,2
3719,LRS5223,5256,7837,1
3720,ETN0822,132,5022,1
3721,NPU4220,2850,4686,1
3722,OCS4837,2964,3758,1
3723,OVS3680,7272,1070,1
3724,OHC1394,822,8808,1
3725,OJS3648,1708,1402,1
3726,PDM2081,822,8808,1
3727,KDK7060,9222,5020,1
3728,MKV5115,3522,1867,1
3729,ARR9365,5000,4778,1
3730,NYA3268,5613,8278,1
3731,JPS4448,6072,9488,1
3732,HCI1146,7428,4378,1
3733,OII8399,1412,9134,1
3734,BVU5781,7361,6353,1
3735,NLQ6012,5303,7658,2
3736,NZO2298,5328,2522,1
3737,OIA7584,1289,9660,1
3738,HBO5836,1866,1061,1
3739,HDW3142,7260,9133,1
3740,HYY3618,2422,8622,1
3741,PGQ0540,961,914,1
3742,AOO6950,2612,6611,1
3743,PIO0295,2403,9277,1
3744,OCL7995,2967,3581,1
3745,OAZ6756,7272,1070,1
3746,MLX5526,1772,1190,1
3747,HWE6417,7428,4378,1
3748,NER9021,3500,6325,1
3749,KDQ2009,9694,2880,1
3750,ONL6710,388,3833,1
3751,ODT9458,6050,6869,1
3752,MDU1830,8444,528,1
3753,OOL1030,3772,6303,1
3754,NPN5820,7134,4709,1
3755,EMZ3263,2556,2528,1
3756,ONF4608,7272,1070,1
3757,OKC9170,9994,982,1
3758,OYR0540,7134,4709,1
3759,PSN6821,3976,6305,1
3760,PWM6383,2967,3581,1
3761,OSA1164,-3,-38,1
3762,NUS6965,-3,-38,1
